Time,altitude via coords,altitude via ecc ano,altitude via true ano
325,538351.373549,538351.373549,538351.373549
326,538346.674875,538346.674875,538346.674875
327,538342.010606,538342.010606,538342.010606
328,538337.380748,538337.380748,538337.380748
329,538332.785306,538332.785306,538332.785306
330,538328.224286,538328.224286,538328.224286
331,538323.697694,538323.697694,538323.697694
332,538319.205535,538319.205535,538319.205535
333,538314.747814,538314.747814,538314.747814
334,538310.324537,538310.324537,538310.324537
335,538305.935710,538305.935710,538305.935710
336,538301.581337,538301.581337,538301.581337
337,538297.261425,538297.261425,538297.261425
338,538292.975978,538292.975978,538292.975978
339,538288.725002,538288.725002,538288.725002
340,538284.508501,538284.508501,538284.508501
341,538280.326482,538280.326482,538280.326482
342,538276.178948,538276.178948,538276.178948
343,538272.065906,538272.065906,538272.065906
344,538267.987360,538267.987360,538267.987360
345,538263.943316,538263.943316,538263.943316
346,538259.933777,538259.933777,538259.933777
347,538255.958750,538255.958750,538255.958750
348,538252.018238,538252.018238,538252.018238
349,538248.112247,538248.112247,538248.112247
350,538244.240782,538244.240782,538244.240782
351,538240.403847,538240.403847,538240.403847
352,538236.601447,538236.601447,538236.601447
353,538232.833587,538232.833587,538232.833587
354,538229.100271,538229.100271,538229.100271
355,538225.401503,538225.401503,538225.401503
356,538221.737289,538221.737289,538221.737289
357,538218.107633,538218.107633,538218.107633
358,538214.512539,538214.512539,538214.512539
359,538210.952012,538210.952012,538210.952012
360,538207.426056,538207.426056,538207.426056
361,538203.934675,538203.934675,538203.934675
362,538200.477874,538200.477874,538200.477874
363,538197.055656,538197.055656,538197.055656
364,538193.668027,538193.668027,538193.668027
365,538190.314989,538190.314989,538190.314989
366,538186.996548,538186.996548,538186.996548
367,538183.712707,538183.712707,538183.712707
368,538180.463471,538180.463471,538180.463471
369,538177.248843,538177.248843,538177.248843
370,538174.068827,538174.068827,538174.068827
371,538170.923427,538170.923427,538170.923427
372,538167.812647,538167.812647,538167.812647
373,538164.736491,538164.736491,538164.736491
374,538161.694963,538161.694963,538161.694963
375,538158.688066,538158.688066,538158.688066
376,538155.715803,538155.715803,538155.715803
377,538152.778180,538152.778180,538152.778180
378,538149.875198,538149.875198,538149.875198
379,538147.006863,538147.006863,538147.006863
380,538144.173176,538144.173176,538144.173176
381,538141.374143,538141.374143,538141.374143
382,538138.609765,538138.609765,538138.609765
383,538135.880047,538135.880047,538135.880047
384,538133.184992,538133.184992,538133.184992
385,538130.524603,538130.524603,538130.524603
386,538127.898883,538127.898883,538127.898883
387,538125.307836,538125.307836,538125.307836
388,538122.751465,538122.751465,538122.751465
389,538120.229772,538120.229772,538120.229772
390,538117.742762,538117.742762,538117.742762
391,538115.290437,538115.290437,538115.290437
392,538112.872800,538112.872800,538112.872800
393,538110.489854,538110.489854,538110.489854
394,538108.141601,538108.141601,538108.141601
395,538105.828046,538105.828046,538105.828046
396,538103.549190,538103.549190,538103.549190
397,538101.305037,538101.305037,538101.305037
398,538099.095589,538099.095589,538099.095589
399,538096.920848,538096.920848,538096.920848
400,538094.780818,538094.780818,538094.780818
401,538092.675502,538092.675502,538092.675502
402,538090.604901,538090.604901,538090.604901
403,538088.569018,538088.569018,538088.569018
404,538086.567856,538086.567856,538086.567856
405,538084.601418,538084.601418,538084.601418
406,538082.669705,538082.669705,538082.669705
407,538080.772719,538080.772719,538080.772719
408,538078.910465,538078.910465,538078.910465
409,538077.082942,538077.082942,538077.082942
410,538075.290155,538075.290155,538075.290155
411,538073.532104,538073.532104,538073.532104
412,538071.808793,538071.808793,538071.808793
413,538070.120223,538070.120223,538070.120223
414,538068.466396,538068.466396,538068.466396
415,538066.847315,538066.847315,538066.847315
416,538065.262981,538065.262981,538065.262981
417,538063.713396,538063.713396,538063.713396
418,538062.198563,538062.198563,538062.198563
419,538060.718482,538060.718482,538060.718482
420,538059.273156,538059.273156,538059.273156
421,538057.862587,538057.862587,538057.862587
422,538056.486776,538056.486776,538056.486776
423,538055.145726,538055.145726,538055.145726
424,538053.839437,538053.839437,538053.839437
425,538052.567911,538052.567911,538052.567911
426,538051.331150,538051.331150,538051.331150
427,538050.129155,538050.129155,538050.129155
428,538048.961928,538048.961928,538048.961928
429,538047.829470,538047.829470,538047.829470
430,538046.731783,538046.731783,538046.731783
431,538045.668868,538045.668868,538045.668868
432,538044.640726,538044.640726,538044.640726
433,538043.647358,538043.647358,538043.647358
434,538042.688767,538042.688767,538042.688767
435,538041.764952,538041.764952,538041.764952
436,538040.875915,538040.875915,538040.875915
437,538040.021657,538040.021657,538040.021657
438,538039.202180,538039.202180,538039.202180
439,538038.417483,538038.417483,538038.417483
440,538037.667569,538037.667569,538037.667569
441,538036.952438,538036.952438,538036.952438
442,538036.272091,538036.272091,538036.272091
443,538035.626528,538035.626528,538035.626528
444,538035.015751,538035.015751,538035.015751
445,538034.439760,538034.439760,538034.439760
446,538033.898557,538033.898557,538033.898557
447,538033.392141,538033.392141,538033.392141
448,538032.920513,538032.920513,538032.920513
449,538032.483674,538032.483674,538032.483674
450,538032.081624,538032.081624,538032.081624
451,538031.714365,538031.714365,538031.714365
452,538031.381846,538031.381846,538031.381846
453,538031.084177,538031.084177,538031.084177
454,538030.821299,538030.821299,538030.821299
455,538030.593211,538030.593211,538030.593211
456,538030.399913,538030.399913,538030.399913
457,538030.241406,538030.241406,538030.241406
458,538030.117690,538030.117690,538030.117690
459,538030.028765,538030.028765,538030.028765
460,538029.974631,538029.974631,538029.974631
461,538029.955289,538029.955289,538029.955289
462,538029.970737,538029.970737,538029.970737
463,538030.020977,538030.020977,538030.020977
464,538030.106008,538030.106008,538030.106008
465,538030.225831,538030.225831,538030.225831
466,538030.380444,538030.380444,538030.380444
467,538030.569848,538030.569848,538030.569848
468,538030.794042,538030.794042,538030.794042
469,538031.053027,538031.053027,538031.053027
470,538031.346801,538031.346801,538031.346801
471,538031.675425,538031.675425,538031.675425
472,538032.038791,538032.038791,538032.038791
473,538032.436947,538032.436947,538032.436947
474,538032.869892,538032.869892,538032.869892
475,538033.337627,538033.337627,538033.337627
476,538033.840149,538033.840149,538033.840149
477,538034.377459,538034.377459,538034.377459
478,538034.949557,538034.949557,538034.949557
479,538035.556440,538035.556440,538035.556440
480,538036.198110,538036.198110,538036.198110
481,538036.874564,538036.874564,538036.874564
482,538037.585802,538037.585802,538037.585802
483,538038.331823,538038.331823,538038.331823
484,538039.112627,538039.112627,538039.112627
485,538039.928212,538039.928212,538039.928212
486,538040.778577,538040.778577,538040.778577
487,538041.663721,538041.663721,538041.663721
488,538042.583644,538042.583644,538042.583644
489,538043.538343,538043.538343,538043.538343
490,538044.527819,538044.527819,538044.527819
491,538045.552069,538045.552069,538045.552069
492,538046.611092,538046.611092,538046.611092
493,538047.704888,538047.704888,538047.704888
494,538048.833454,538048.833454,538048.833454
495,538049.996789,538049.996789,538049.996789
496,538051.194893,538051.194893,538051.194893
497,538052.427763,538052.427763,538052.427763
498,538053.695398,538053.695398,538053.695398
499,538054.997797,538054.997797,538054.997797
500,538056.334957,538056.334957,538056.334957
501,538057.706877,538057.706877,538057.706877
502,538059.113556,538059.113556,538059.113556
503,538060.554992,538060.554992,538060.554992
504,538062.031183,538062.031183,538062.031183
505,538063.542127,538063.542127,538063.542127
506,538065.087823,538065.087823,538065.087823
507,538066.668267,538066.668267,538066.668267
508,538068.283460,538068.283460,538068.283460
509,538069.933398,538069.933398,538069.933398
510,538071.618080,538071.618080,538071.618080
511,538073.337503,538073.337503,538073.337503
512,538075.091665,538075.091665,538075.091665
513,538076.880565,538076.880565,538076.880565
514,538078.704200,538078.704200,538078.704200
515,538080.562567,538080.562567,538080.562567
516,538082.455666,538082.455666,538082.455666
517,538084.383492,538084.383492,538084.383492
518,538086.346044,538086.346044,538086.346044
519,538088.343320,538088.343320,538088.343320
520,538090.375317,538090.375317,538090.375317
521,538092.442032,538092.442032,538092.442032
522,538094.543464,538094.543464,538094.543464
523,538096.679608,538096.679608,538096.679608
524,538098.850464,538098.850464,538098.850464
525,538101.056028,538101.056028,538101.056028
526,538103.296297,538103.296297,538103.296297
527,538105.571269,538105.571269,538105.571269
528,538107.880941,538107.880941,538107.880941
529,538110.225310,538110.225310,538110.225310
530,538112.604373,538112.604373,538112.604373
531,538115.018128,538115.018128,538115.018128
532,538117.466571,538117.466571,538117.466571
533,538119.949699,538119.949699,538119.949699
534,538122.467510,538122.467510,538122.467510
535,538125.020000,538125.020000,538125.020000
536,538127.607166,538127.607166,538127.607166
537,538130.229006,538130.229006,538130.229006
538,538132.885515,538132.885515,538132.885515
539,538135.576690,538135.576690,538135.576690
540,538138.302529,538138.302529,538138.302529
541,538141.063027,538141.063027,538141.063027
542,538143.858183,538143.858183,538143.858183
543,538146.687991,538146.687991,538146.687991
544,538149.552449,538149.552449,538149.552449
545,538152.451553,538152.451553,538152.451553
546,538155.385299,538155.385299,538155.385299
547,538158.353685,538158.353685,538158.353685
548,538161.356706,538161.356706,538161.356706
549,538164.394359,538164.394359,538164.394359
550,538167.466639,538167.466639,538167.466639
551,538170.573544,538170.573544,538170.573544
552,538173.715069,538173.715069,538173.715069
553,538176.891211,538176.891211,538176.891211
554,538180.101966,538180.101966,538180.101966
555,538183.347329,538183.347329,538183.347329
556,538186.627297,538186.627297,538186.627297
557,538189.941866,538189.941866,538189.941866
558,538193.291031,538193.291031,538193.291031
559,538196.674789,538196.674789,538196.674789
560,538200.093136,538200.093136,538200.093136
561,538203.546067,538203.546067,538203.546067
562,538207.033578,538207.033578,538207.033578
563,538210.555664,538210.555664,538210.555664
564,538214.112323,538214.112323,538214.112323
565,538217.703548,538217.703548,538217.703548
566,538221.329336,538221.329336,538221.329336
567,538224.989683,538224.989683,538224.989683
568,538228.684583,538228.684583,538228.684583
569,538232.414033,538232.414033,538232.414033
570,538236.178027,538236.178027,538236.178027
571,538239.976561,538239.976561,538239.976561
572,538243.809631,538243.809631,538243.809631
573,538247.677232,538247.677232,538247.677232
574,538251.579359,538251.579359,538251.579359
575,538255.516007,538255.516007,538255.516007
576,538259.487172,538259.487172,538259.487172
577,538263.492848,538263.492848,538263.492848
578,538267.533031,538267.533031,538267.533031
579,538271.607716,538271.607716,538271.607716
580,538275.716897,538275.716897,538275.716897
581,538279.860571,538279.860571,538279.860571
582,538284.038731,538284.038731,538284.038731
583,538288.251372,538288.251372,538288.251372
584,538292.498490,538292.498490,538292.498490
