Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
158,423971.711555,421694.854208,423971.711555,423971.711555
159,423976.551972,421696.231360,423976.551972,423976.551972
160,423981.392861,421697.606355,423981.392861,423981.392861
161,423986.234217,421698.979188,423986.234217,423986.234217
162,423991.076033,421700.349851,423991.076033,423991.076033
163,423995.918303,421701.718340,423995.918303,423995.918303
164,424000.761021,421703.084647,424000.761021,424000.761021
165,424005.604181,421704.448767,424005.604181,424005.604181
166,424010.447776,421705.810694,424010.447776,424010.447776
167,424015.291801,421707.170420,424015.291801,424015.291801
168,424020.136249,421708.527941,424020.136249,424020.136249
169,424024.981115,421709.883251,424024.981115,424024.981115
170,424029.826391,421711.236341,424029.826391,424029.826391
171,424034.672072,421712.587208,424034.672072,424034.672072
172,424039.518152,421713.935844,424039.518152,424039.518152
173,424044.364625,421715.282244,424044.364625,424044.364625
174,424049.211484,421716.626401,424049.211484,424049.211484
175,424054.058723,421717.968310,424054.058723,424054.058723
176,424058.906336,421719.307963,424058.906336,424058.906336
177,424063.754317,421720.645355,424063.754317,424063.754317
178,424068.602659,421721.980480,424068.602659,424068.602659
179,424073.451358,421723.313331,424073.451358,424073.451358
180,424078.300405,421724.643903,424078.300405,424078.300405
181,424083.149796,421725.972189,424083.149796,424083.149796
182,424087.999524,421727.298183,424087.999524,424087.999524
183,424092.849583,421728.621879,424092.849583,424092.849583
184,424097.699967,421729.943271,424097.699967,424097.699967
185,424102.550669,421731.262352,424102.550669,424102.550669
186,424107.401684,421732.579117,424107.401684,424107.401684
187,424112.253005,421733.893560,424112.253005,424112.253005
188,424117.104626,421735.205673,424117.104626,424117.104626
189,424121.956541,421736.515452,424121.956541,424121.956541
190,424126.808744,421737.822889,424126.808744,424126.808744
191,424131.661229,421739.127979,424131.661229,424131.661229
192,424136.513989,421740.430716,424136.513989,424136.513989
193,424141.367018,421741.731093,424141.367018,424141.367018
194,424146.220310,421743.029104,424146.220310,424146.220310
195,424151.073860,421744.324744,424151.073860,424151.073860
196,424155.927660,421745.618005,424155.927660,424155.927660
197,424160.781705,421746.908882,424160.781705,424160.781705
198,424165.635988,421748.197369,424165.635988,424165.635988
199,424170.490503,421749.483459,424170.490503,424170.490503
200,424175.345245,421750.767146,424175.345245,424175.345245
201,424180.200206,421752.048425,424180.200206,424180.200206
202,424185.055382,421753.327288,424185.055382,424185.055382
203,424189.910765,421754.603731,424189.910765,424189.910765
204,424194.766349,421755.877746,424194.766349,424194.766349
205,424199.622129,421757.149327,424199.622129,424199.622129
206,424204.478098,421758.418469,424204.478098,424204.478098
207,424209.334249,421759.685165,424209.334249,424209.334249
208,424214.190578,421760.949409,424214.190578,424214.190578
