Time,altitude via coords,altitude via ecc ano,altitude via true ano
377,6792760.283109,6798258.084258,6798258.084258
378,6792756.671640,6798261.695728,6798261.695728
379,6792753.063665,6798265.303702,6798265.303702
380,6792749.459190,6798268.908177,6798268.908177
381,6792745.858220,6798272.509147,6798272.509147
382,6792742.260759,6798276.106608,6798276.106608
383,6792738.666812,6798279.700556,6798279.700556
384,6792735.076382,6798283.290985,6798283.290985
385,6792731.489476,6798286.877892,6798286.877892
386,6792727.906096,6798290.461271,6798290.461271
387,6792724.326249,6798294.041119,6798294.041119
388,6792720.749937,6798297.617430,6798297.617430
389,6792717.177167,6798301.190201,6798301.190201
390,6792713.607942,6798304.759426,6798304.759426
391,6792710.042266,6798308.325101,6798308.325101
392,6792706.480146,6798311.887222,6798311.887222
393,6792702.921584,6798315.445784,6798315.445784
394,6792699.366585,6798319.000782,6798319.000782
395,6792695.815155,6798322.552213,6798322.552213
396,6792692.267297,6798326.100071,6798326.100071
397,6792688.723016,6798329.644352,6798329.644352
398,6792685.182316,6798333.185052,6798333.185052
399,6792681.645202,6798336.722165,6798336.722165
400,6792678.111679,6798340.255689,6798340.255689
401,6792674.581750,6798343.785617,6798343.785617
402,6792671.055421,6798347.311946,6798347.311946
403,6792667.532696,6798350.834672,6798350.834672
404,6792664.013579,6798354.353789,6798354.353789
405,6792660.498074,6798357.869293,6798357.869293
406,6792656.986187,6798361.381180,6798361.381180
407,6792653.477922,6798364.889446,6798364.889446
408,6792649.973282,6798368.394085,6798368.394085
409,6792646.472273,6798371.895094,6798371.895094
410,6792642.974899,6798375.392468,6798375.392468
411,6792639.481165,6798378.886203,6798378.886203
412,6792635.991074,6798382.376293,6798382.376293
413,6792632.504632,6798385.862736,6798385.862736
414,6792629.021842,6798389.345526,6798389.345526
415,6792625.542709,6798392.824658,6798392.824658
416,6792622.067238,6798396.300130,6798396.300130
417,6792618.595432,6798399.771935,6798399.771935
418,6792615.127297,6798403.240070,6798403.240070
419,6792611.662837,6798406.704531,6798406.704531
420,6792608.202055,6798410.165312,6798410.165312
